m200 c200 mdstar mdbul mdgas rdstar rdbul rdgas
8.263135917106204653e-01 8.503863976345842346e+00 4.427773368015736821e+01 9.544128691425033395e+00 3.554041721760194150e+01 2.781082394092580401e+00 2.424401606089270356e-01 6.173823212173995323e+00
8.101913780054371683e-01 8.261561526181022685e+00 5.455234397494501764e+01 9.051934367241708301e+00 3.593020537545037740e+01 2.961813334018178701e+00 2.324424954638665552e-01 8.789081431393153565e+00
7.526466324651800432e-01 8.979531429154636868e+00 4.739412582472738933e+01 8.988366792786521842e+00 3.622263604942630622e+01 2.801683653522628603e+00 2.055863652881401993e-01 7.082543539886642314e+00
7.122123409215643797e-01 8.665228642606923160e+00 4.615951820916939852e+01 9.812145692381889717e+00 3.849578403007881633e+01 2.843789286905686886e+00 2.316778833342966748e-01 6.555111107380229285e+00
8.140453137385744720e-01 8.797458842353723441e+00 4.169668132494497570e+01 8.304711501495257053e+00 3.604930583014962053e+01 2.655135104818948211e+00 2.093401221401139101e-01 5.677609019376864907e+00
7.532105773855012343e-01 1.111657196859220420e+01 3.357552403617880543e+01 8.369296406529748822e+00 3.229590006804124869e+01 2.540598228805584835e+00 2.019020017060615124e-01 4.936671835394809804e+00
7.015538759571063876e-01 9.694487781136576388e+00 4.795346184549916302e+01 8.129548631202236919e+00 3.542899308278538228e+01 2.739480770823238487e+00 2.005692177718769176e-01 7.385194984335922364e+00
7.634650562623525039e-01 9.125259338394101860e+00 4.404277582552366255e+01 8.325721403589930958e+00 3.590740356269774480e+01 2.683363562427134141e+00 2.098509210229468347e-01 6.265144415124289878e+00
7.839784037402891537e-01 9.624943812146717903e+00 4.379407217453943701e+01 9.083986013084215827e+00 3.161620587922003267e+01 2.676796752051684436e+00 2.250124357218264426e-01 6.300480821653423824e+00
7.180466498841143741e-01 1.208618998181778537e+01 3.100742432217179356e+01 8.240631683883062664e+00 3.031807884092930649e+01 2.515310095879619290e+00 2.005675988791217890e-01 4.517460169394382774e+00
6.714635977542069423e-01 1.038217008035083033e+01 4.468932851806589923e+01 8.534273571921811907e+00 3.648184355436506365e+01 2.735351682519636896e+00 2.105878562185869440e-01 7.115253617496750671e+00
6.359863200879748435e-01 1.222210626093875163e+01 5.190288038342142585e+01 8.897885340439707136e+00 4.620585302671713634e+01 2.981927639546203324e+00 2.227538183371769454e-01 1.509918293543058532e+01
6.854609148501341620e-01 9.282234206594029757e+00 4.185877955886242319e+01 8.903922346798129439e+00 4.175650229190223683e+01 2.639602163838818072e+00 2.128145732285492142e-01 6.281567493413653835e+00
5.914196684179658936e-01 1.115213004018514198e+01 4.496614605876307991e+01 8.544067290460517938e+00 4.357787352811276804e+01 2.725808867241903855e+00 2.140687440559888299e-01 8.071588896610210284e+00
6.826723471054231274e-01 1.145279186449443998e+01 4.085981023894625253e+01 8.868413998916324203e+00 2.838796500691821123e+01 2.722625157616248348e+00 2.166004961010226382e-01 5.976637186340246544e+00
