m200 c200 mdstar mdbul mdgas rdstar rdbul rdgas
6.610613791450898891e-01 9.362428089143707055e+00 5.509859027519545549e+01 9.071136577854680638e+00 4.541832828874333927e+01 2.959802149747404076e+00 2.137944535402138135e-01 1.029755040151691503e+01
6.995937680129695746e-01 8.544860680602768710e+00 6.803406054601647668e+01 9.889107429385502357e+00 2.345787064310519909e+01 3.468303683014644534e+00 2.333723018242470637e-01 1.405915510193685591e+01
7.554938764229397474e-01 1.386459373341103252e+01 4.464865140886688977e+01 8.769904149686347239e+00 3.533839972506489957e+00 2.739175387291146180e+00 2.096537798037464428e-01 5.278059695635619164e+00
6.002819934954181091e-01 7.868759488131041202e+00 6.606630141478080986e+01 9.644048630492505936e+00 6.220081816449537371e+01 3.303044778587247876e+00 2.247904032250127027e-01 1.585633251865308857e+01
6.862892913667346662e-01 9.893432763841113697e+00 6.848079032429393465e+01 9.516903042302997662e+00 4.133952832249243414e+01 3.449139420377355769e+00 2.205813005845778108e-01 2.460881716845465306e+01
7.668054682812946998e-01 1.157471397862250306e+01 4.132810877789249560e+01 9.169454495141962980e+00 1.537732162753118992e+01 2.934699988693370010e+00 2.192751026034044370e-01 3.554796460075404063e+00
7.174494576291227110e-01 1.297541732793281000e+01 5.269518386120478937e+01 9.510450667230211153e+00 1.980240028883703474e+01 3.000188942098731992e+00 2.256111590918881138e-01 1.746642402058940746e+01
6.956345174252585029e-01 1.104387043323651341e+01 5.441113737272609541e+01 9.012352735201702103e+00 4.513115838213435893e+01 2.998444076678915771e+00 2.179427320408416080e-01 1.555139193853837298e+01
6.950936866051771190e-01 9.417152749753144647e+00 6.335782294510988777e+01 9.289623776599164273e+00 2.792714310160912916e+01 3.287300754750155818e+00 2.187770700877013919e-01 9.605623308537634131e+00
6.440616520524488076e-01 8.951986674483364936e+00 5.200108168128275565e+01 8.799110216275392915e+00 4.685167339461311542e+01 2.873826435871396079e+00 2.102515722362233441e-01 7.652235983863626245e+00
7.124160164133701567e-01 9.714134760954220127e+00 6.171782279245005043e+01 8.871839552816343399e+00 1.830750772495008505e+01 3.243597828548927087e+00 2.203776424069562589e-01 5.016237631731179647e+00
6.821123075647780309e-01 1.017653037668048732e+01 5.832412439716613051e+01 9.027941427976038824e+00 4.300874953447523552e+01 2.916521278926714089e+00 2.233851596806354090e-01 1.292109112323854880e+01
7.731809868353919368e-01 1.162794830197066176e+01 3.972523620687833557e+01 9.053704779560524329e+00 1.843013177016852921e+01 2.854457989936534545e+00 2.161750476534620435e-01 5.448212859853154733e+00
6.194948164462390494e-01 7.922961257321909478e+00 5.817388455140518744e+01 9.636334542660154767e+00 5.747845517565946949e+01 2.908177797097365680e+00 2.234695902499496678e-01 1.101111282908796163e+01
6.854626652476742965e-01 8.974204010742109716e+00 7.312901726680792081e+01 8.924491158269987068e+00 5.463793637881376242e+01 3.496747434562623269e+00 2.172634706719463737e-01 1.762441633546147912e+01
7.469893529197524362e-01 9.148281718794583739e+00 4.917709503892531586e+01 8.333541814317012353e+00 2.837377509495015460e+01 2.615340561991268853e+00 2.117167821789119608e-01 5.799004558584988089e+00
6.700838982535499699e-01 8.766479166314004701e+00 7.288885455751069742e+01 9.372388958662437375e+00 3.331251864949211949e+01 3.304565712313096704e+00 2.159951687371767792e-01 1.249211002577319185e+01
5.934111719080907843e-01 8.024953315225973327e+00 7.020933412083849134e+01 8.860176763365558372e+00 6.526058220890149641e+01 3.115687698213354118e+00 2.153042059391488960e-01 1.470506966531348070e+01
7.580196400843162152e-01 6.991863084798576544e+00 7.718023646914514302e+01 9.779169784081050310e+00 3.385582558055735092e+01 3.533660258922479702e+00 2.292950665147857336e-01 1.179140309582027690e+01
7.107115891190490808e-01 8.468543429070411577e+00 7.028586809853658224e+01 9.037731540919899942e+00 3.331718328229211323e+01 3.171173159803915453e+00 2.135207577527184486e-01 1.325172715829737768e+01
6.173698727386472962e-01 7.444900820243312012e+00 9.630453625631949421e+01 9.806023473806998680e+00 1.603590064714582297e+01 3.929746791545050577e+00 2.283726839134533615e-01 1.651832189378389870e+01
7.316326619732762548e-01 9.901939675103955452e+00 6.291492596843407625e+01 9.668073963671469429e+00 3.131089347318745197e+01 3.252655648306650882e+00 2.280507005191021452e-01 2.330311722127234830e+01
7.364825418999294548e-01 7.237226299307449651e+00 7.400364798371450092e+01 9.069765976002944541e+00 3.859161672439315538e+01 3.225779230696149469e+00 2.212645711989630060e-01 1.690530535670513501e+01
7.073529125395404682e-01 9.014592125995557481e+00 4.952753780844915354e+01 9.476997171784921292e+00 4.500060613662442677e+01 2.654483764817237024e+00 2.266720130935004629e-01 8.630513785608904698e+00
6.746171273697889603e-01 8.016956437697569271e+00 5.181782860327274420e+01 8.826120397027217734e+00 4.914742554692240617e+01 2.636870675055085211e+00 2.144478943413378191e-01 8.719283784684193961e+00
6.546095857080084235e-01 9.386340254876248679e+00 7.256869947140765476e+01 9.256173943033457974e+00 5.366138635002460688e+01 3.246253789484608632e+00 2.207349273604018725e-01 2.036518863654375977e+01
7.392245688521427160e-01 7.716537330737880396e+00 6.419372015907711670e+01 9.136678097118554831e+00 2.564051725796687364e+01 3.114412471600738641e+00 2.142172545405765516e-01 8.878850107707656036e+00
7.295785053184968838e-01 8.767783370004709198e+00 6.390921764232739832e+01 9.017811846439892420e+00 3.327184621205656612e+01 3.140795641206552968e+00 2.220555122156403216e-01 1.768338982785346758e+01
6.892135287646048436e-01 8.737327940960575745e+00 5.435306137602761112e+01 8.898085020098733366e+00 5.187643806357728948e+01 2.805985014187243998e+00 2.112632342323089163e-01 1.092218757848832489e+01
7.698414121424349554e-01 7.835469458888856487e+00 5.880323671616949355e+01 9.354235490131511455e+00 4.286012974733010594e+01 3.010263930419435852e+00 2.220085388086213418e-01 9.533537958333280216e+00
7.040153616658346714e-01 9.038451329802537515e+00 6.091168054402631782e+01 9.103652216249146889e+00 3.663031764918744670e+01 2.971048491745079900e+00 2.199687543620152952e-01 1.279048807847306257e+01
7.339629955701587605e-01 8.075912473639606404e+00 6.716343194572209541e+01 8.548750893770041159e+00 3.220897887879485921e+01 2.901660509434554225e+00 2.062467992950403062e-01 1.350112140954293061e+01
7.249555548852735232e-01 1.111733389163777197e+01 5.181092213572585337e+01 9.057509804853372870e+00 1.887136995306494214e+01 3.025167197972454147e+00 2.140588988369553636e-01 6.435817512741755841e+00
7.495527938031891768e-01 9.578223060964388580e+00 7.535252674066926204e+01 9.588237509166093631e+00 5.460694947471719907e+00 3.557435649970027924e+00 2.232967676556427417e-01 2.431464940884882964e+01
