m200 c200 mdstar mdbul mdgas rdstar rdbul rdgas
7.032301481157591239e-01 9.086682056702208854e+00 5.311968899345013284e+01 8.246412066727335954e+00 3.972744516528319281e+01 2.917768057247354996e+00 2.042187921572211906e-01 8.893428908618384199e+00
6.565214433400093919e-01 1.049789059756720455e+01 4.020145206291930862e+01 8.216484119252193352e+00 4.009406388704866231e+01 2.661589722470083519e+00 2.015027255156050245e-01 6.394713161887840336e+00
8.354825807581275354e-01 8.928987000417171416e+00 4.292567835858766045e+01 8.235017805568794813e+00 3.475817082362215871e+01 2.639349623527900590e+00 2.001323354362454787e-01 5.999830221857431312e+00
6.576517060771311929e-01 8.602152388403757399e+00 4.995204900129890291e+01 8.373113262576302063e+00 4.563157251812118886e+01 2.830783244937056686e+00 2.016738875197413017e-01 7.764835363813350710e+00
5.886956739500248670e-01 1.248926527852198376e+01 4.949537206889259267e+01 7.858281770528416921e+00 4.650518510049410281e+01 2.855705778002746609e+00 2.010186400863925305e-01 1.171957610948141237e+01
7.019008894952137867e-01 1.307432990137820639e+01 4.232440938160792854e+01 7.989429022618843135e+00 1.860834386398452622e+01 2.791463643086575797e+00 2.006695259190511005e-01 6.321539052459343111e+00
7.602202403811932907e-01 7.955966942885927651e+00 5.594673868154571039e+01 8.614018008796904269e+00 4.421704145771209937e+01 2.963923733288779783e+00 2.009351851680873657e-01 9.435475364357944983e+00
8.764774849221402819e-01 9.559505044030695231e+00 4.632248638856303558e+01 7.949511358927591864e+00 2.543535696816483593e+01 2.727037117858368998e+00 2.046448845159244689e-01 6.436273449219751974e+00
7.571412060168091207e-01 8.872738065255383333e+00 4.717642088483853513e+01 8.082007186657833131e+00 4.371561709917803995e+01 2.717806345860699579e+00 2.031349741254259711e-01 7.755055631244738734e+00
7.220936813380529617e-01 1.054481021470211033e+01 5.013090189020621068e+01 8.439224214722194972e+00 2.621038865959678787e+01 2.919499429798226409e+00 2.009105721342118733e-01 7.975844710643408497e+00
6.852337832616725022e-01 1.014801038745564910e+01 5.155700716755346491e+01 8.147926222851962663e+00 3.773392061773481032e+01 2.883204130701783718e+00 2.004875023003517553e-01 9.321405597213182403e+00
7.913648098895692540e-01 7.957134346919559675e+00 4.606517215032210544e+01 8.156513353851448045e+00 4.355256262440187953e+01 2.681079616160161549e+00 2.055301802804608280e-01 6.718443482770240394e+00
7.834978510947955277e-01 8.456174192456721528e+00 4.779040796719451123e+01 8.198281353197280907e+00 3.831129342387757930e+01 2.766029162774490402e+00 2.011337825149970004e-01 6.880049540069532732e+00
8.552878253883886561e-01 7.414049252792554334e+00 4.614420736574839310e+01 8.462686603685446229e+00 4.220556671253138603e+01 2.718062379870766598e+00 2.003323301513672550e-01 6.356479104998762786e+00
8.137331330020312059e-01 9.272995846930008668e+00 4.040372506760731142e+01 8.388135744352229750e+00 3.580302976109904733e+01 2.616042092548612086e+00 2.053599713746692423e-01 5.852390616787963573e+00
6.763854776483856357e-01 8.550632826985298252e+00 5.503121917112687811e+01 8.314437719118615178e+00 4.856055252695350077e+01 2.899022289455564394e+00 2.024895921450983183e-01 9.813434328647376859e+00
7.872030172173255513e-01 8.232555100458775144e+00 4.985856327555119805e+01 8.113575784738173979e+00 4.041918186142420666e+01 2.793609467631276377e+00 2.050062017065545639e-01 7.453327448261977572e+00
6.162714685214520927e-01 9.386022199473231353e+00 4.959770279093771705e+01 8.456984846808115464e+00 4.958343679886795741e+01 2.811790386771183314e+00 2.086132268562704839e-01 8.576715301926480350e+00
5.463315577379189714e-01 1.352169844865188431e+01 4.879758160178889170e+01 8.235461567212229994e+00 4.329395232641655156e+01 2.946638350411421747e+00 2.035097560054961174e-01 1.164385284032403689e+01
6.431563188424613831e-01 1.109188466911412441e+01 4.521857589783208908e+01 8.382538062299122572e+00 3.448592863251617757e+01 2.758524340118992502e+00 2.060554643232890004e-01 7.345307903639729297e+00
7.715108772534262638e-01 9.055685305174318245e+00 4.795964297059405368e+01 8.469418665507109978e+00 3.095055751673566391e+01 2.839531471624558545e+00 2.005333551464616171e-01 6.435537339151020220e+00
8.246785250162044223e-01 1.095889143429329948e+01 4.388528624692468583e+01 8.294791785551559826e+00 1.835233599279183281e+01 2.769486672745399503e+00 2.056940872139762788e-01 5.531793597511582838e+00
8.133023304146314025e-01 8.793060706087580058e+00 4.274752155448094726e+01 8.033416032541859764e+00 3.549831642666631382e+01 2.657334410960304094e+00 2.031372004021388677e-01 5.798082414177796018e+00
6.426449699164979990e-01 1.349201862383025663e+01 4.066356855133172132e+01 7.965254989722352796e+00 2.327728488893516712e+01 2.767787619073425187e+00 2.027257631127100668e-01 6.312306330210452288e+00
7.309478613548719972e-01 8.864423301812374589e+00 4.718409261022085843e+01 8.191181034458585586e+00 3.853391807381453305e+01 2.764675470550256087e+00 2.001447914046230736e-01 6.852051934466914851e+00
5.601409128063059573e-01 1.776690289987573124e+01 4.300239074118272953e+01 8.137913232887690640e+00 2.985256808619838509e+01 2.983609256314051272e+00 2.031689796515999402e-01 1.625345174009345683e+01
