m200 c200 mdstar mdbul mdgas rdstar rdbul rdgas
1.295375965405585639e+00 5.942810818696547592e+00 5.422913529042094893e+01 8.264034227561811718e+00 5.227813757210229006e+00 2.653499715393514702e+00 2.097753062155969794e-01 1.993518048529524478e+01
1.137590967415921472e+00 5.555695728947426026e+00 5.745026467604167664e+01 8.040809885788473110e+00 2.072643448550159206e+01 2.701977467174569991e+00 2.034541474237112624e-01 2.183407450570698671e+01
9.353989786518280836e-01 6.069873447346387785e+00 5.597572903316358861e+01 8.027259987659789431e+00 4.969861722422843542e+01 2.645427493215124493e+00 2.036646538470741619e-01 2.129130281353850762e+01
1.242521024742887947e+00 5.378652654698649727e+00 5.690213998768982151e+01 8.258006249634918916e+00 2.890444248730751298e+01 2.759954566319640534e+00 2.047883388420934925e-01 2.371585941729487956e+01
1.045452268153319153e+00 5.385385818297837801e+00 5.776989771943154750e+01 7.920910714659019192e+00 3.157072577316760587e+01 2.721924512923894923e+00 2.016855614282758447e-01 1.888239698141843803e+01
1.050229291088288663e+00 6.130053253997175489e+00 5.333328276597773510e+01 8.219743224987098529e+00 2.136923793179589026e+01 2.568552649772089413e+00 2.007594751060646776e-01 2.380938457125636631e+01
1.000415293147824958e+00 5.899758810113811869e+00 5.666467837860333390e+01 7.900197251631606576e+00 2.031263789236986383e+01 2.636294508889911903e+00 2.002687274955340657e-01 2.324873373811472987e+01
1.015510995011714268e+00 5.110094511061602063e+00 5.818974226077801148e+01 7.943062652191806627e+00 4.363333515172835320e+01 2.679076231701126076e+00 2.069542846847423900e-01 2.125872754822012567e+01
1.294614293947221162e+00 5.372230846082676869e+00 5.451514302331579387e+01 8.115187394743006877e+00 1.529618143434506905e+01 2.572788812348511645e+00 2.011328105905516861e-01 1.599800265450678438e+01
1.013106084192290535e+00 6.809221225317466875e+00 5.081252487114220884e+01 8.121694407017688633e+00 4.992277616622225622e+01 2.530582528304833101e+00 2.010112307151714905e-01 2.260414641788268142e+01
1.116585658648992396e+00 5.643578968311650179e+00 5.554874705581967476e+01 8.028341025334544412e+00 4.298081370283940572e+01 2.691096903272709007e+00 2.010352027856480706e-01 1.895656508716008659e+01
1.072007079817998365e+00 5.196059552722415376e+00 5.630485325954823850e+01 7.858395099241000104e+00 3.453664372947621075e+01 2.642881805473255685e+00 2.010644938375867607e-01 1.877031745317089673e+01
